,0
0,1000000.0
1,999850.6191586229
2,999035.3473229638
3,995936.3719698868
4,1002925.0026232988
5,1005924.0450104943
6,1007883.7009521446
7,1018893.1561740837
8,1022693.0283159561
9,1032724.3903485336
10,1035409.1606161691
11,1029457.4028486902
12,1031254.9514793435
13,1034971.5144823113
14,1031307.5239570275
15,1030657.3441109124
16,1022007.4047853051
17,1021076.5212497788
18,1023180.8336459962
19,1034310.3060353547
20,1036334.3060353547
21,1034664.3060353547
22,1030560.1563333283
23,1030454.2813333283
24,1037519.9495326958
25,1037103.9495326958
26,1037584.9882393228
27,1042042.0719537775
28,1058840.8219537775
29,1059893.5719537775
30,1057166.9469537775
31,1061951.9469537775
32,1076567.4469537775
33,1083334.4469537775
34,1081121.3219537775
35,1069570.681327778
36,1079448.181327778
37,1069453.916177929
38,1077001.5505960505
39,1074296.942976101
40,1077422.942976101
41,1078133.317976101
42,1087476.192976101
43,1078600.817976101
44,1086994.817976101
45,1086683.817976101
46,1095629.692976101
47,1109022.192976101
48,1116693.442976101
49,1115831.692976101
50,1099088.317976101
51,1075637.317976101
52,1088982.692976101
53,1105596.317976101
54,1103794.5791935234
55,1096098.4106639214
56,1089168.5356639214
57,1093501.7856639214
58,1098914.7856639214
59,1104816.4106639214
60,1101586.9106639214
61,1105469.6606639214
62,1110876.1606639214
63,1114684.4106639214
64,1119941.7856639214
65,1118839.6606639214
66,1121596.9106639214
67,1126621.0885698816
68,1118257.3385698816
69,1117152.7135698816
70,1112904.6597296945
71,1107379.6819186287
72,1109467.741132656
73,1107294.4877162133
74,1104372.5265850106
75,1097765.4500670587
76,1089184.1679808619
77,1067827.7929808619
78,1087171.2929808619
79,1089713.480125454
80,1088604.480125454
81,1100876.730125454
82,1114876.355125454
83,1110974.605125454
84,1114337.980125454
85,1126130.230125454
86,1127880.855125454
87,1134666.605125454
88,1130089.980125454
89,1132587.480125454
90,1121232.855125454
91,1139073.980125454
92,1147776.105125454
93,1145605.480125454
94,1147556.355125454
95,1152878.855125454
96,1141209.355125454
97,1113730.230125454
98,1135973.480125454
99,1147054.855125454
100,1151404.730125454
101,1154929.480125454
102,1153804.855125454
103,1151950.230125454
104,1147359.605125454
105,1154736.0377566835
106,1153217.4598564606
107,1155860.5272258606
108,1165373.3784857637
109,1159667.50000692
110,1164077.4468083803
111,1175688.8997100296
112,1172340.0736926498
113,1182351.8236926498
114,1187058.5736926498
115,1190028.1986926498
116,1190956.6986926498
117,1197085.1986926498
118,1193274.5736926498
119,1178841.1986926498
120,1180184.9486926498
121,1187244.8236926498
122,1193624.0736926498
123,1197844.1986926498
124,1198816.8236926498
125,1195576.5736926498
126,1203111.8787651367
127,1202575.9778963968
128,1200435.4778963968
129,1200329.7278963968
130,1206074.2278963968
131,1202614.7278963968
132,1195050.2278963968
133,1185676.1028963968
134,1181633.9778963968
135,1169673.7278963968
136,1178914.1028963968
137,1168242.1028963968
138,1173125.1028963968
139,1167572.4778963968
140,1161159.1028963968
141,1138351.3528963968
142,1136431.7278963968
143,1147621.9778963968
144,1163674.7278963968
145,1160980.2278963968
146,1161788.7278963968
147,1139736.8528963968
148,1138391.8528963968
149,1122971.1028963968
150,1134188.9778963968
151,1121232.1028963968
152,1138332.7278963968
153,1143191.4778963968
154,1156280.7278963968
155,1158906.3613974573
156,1147549.4863974573
157,1148406.7363974573
158,1151469.580906994
159,1172960.7452182581
160,1193337.3702182581
161,1199360.4952182581
162,1203640.9952182581
163,1209824.1202182581
164,1216346.2452182581
165,1221408.6202182581
166,1224159.2452182581
167,1230474.9952182581
168,1220465.1202182581
169,1234971.8702182581
170,1238305.4952182581
171,1238341.6202182581
172,1246004.9952182581
173,1248735.1202182581
174,1244528.4952182581
175,1242693.6202182581
176,1245220.4952182581
177,1247028.9952182581
178,1229803.6202182581
179,1227800.9952182581
180,1235354.8702182581
181,1230120.1202182581
182,1227859.6202182581
183,1218078.1202182581
184,1220507.2452182581
185,1210837.2452182581
186,1217011.4952182581
187,1227932.7452182581
188,1220676.9952182581
189,1193025.1202182581
190,1201712.278111233
191,1185682.153111233
192,1166077.778111233
193,1183214.5917403337
194,1180108.0445944902
195,1197504.5445944902
196,1217689.9195944902
197,1217699.7945944902
198,1219498.77241074
199,1227959.52241074
200,1219826.64741074
201,1217523.77241074
202,1235689.64741074
203,1231289.14741074
204,1206973.14741074
205,1187934.89741074
206,1207239.14741074
207,1215371.64741074
208,1221549.89741074
209,1234931.77241074
210,1236050.52241074
211,1237512.52241074
212,1234890.02241074
213,1231667.77241074
214,1243968.64741074
215,1244375.39741074
216,1227705.89741074
217,1212169.77241074
218,1210657.27241074
219,1212156.02241074
220,1223766.52241074
221,1219467.27241074
222,1211096.27241074
223,1203744.02241074
224,1168217.52241074
225,1158172.89741074
226,1151994.52241074
227,1139828.02241074
228,1141074.14741074
229,1129437.02241074
230,1126715.417195164
231,1128984.3528653604
232,1151062.4850644495
233,1173213.539857174
234,1180087.789857174
235,1186186.414857174
236,1164140.289857174
237,1169142.914857174
238,1168171.664857174
239,1178346.164857174
240,1190403.539857174
241,1169731.789857174
242,1146096.914857174
243,1140448.289857174
244,1156684.789857174
245,1152625.289857174
246,1128063.7191141625
247,1119176.7191141625
248,1108895.9691141625
249,1095429.4691141625
250,1102469.7191141625
251,1134555.0941141625
252,1128688.0941141625
253,1111911.3441141625
254,1131805.7191141625
255,1130187.2191141625
256,1132653.3441141625
257,1106092.9691141625
258,1093210.0941141625
259,1123222.8441141625
260,1120254.8441141625
261,1106592.8441141625
262,1102086.9691141625
263,1120919.3533240128
264,1142361.0871808245
265,1154786.6723153153
266,1166326.442536728
267,1158914.720929184
268,1168090.720929184
269,1156105.970929184
270,1169208.80249395
271,1173871.80249395
272,1175710.55249395
273,1185886.17749395
274,1185868.8066222917
275,1167070.8871356584
276,1171541.0121356584
277,1175022.8174860459
278,1166899.8174860459
279,1163209.6924860459
280,1166187.2300380021
281,1172803.4470455246
282,1158320.2813441392
283,1157146.9185507433
284,1170624.9547778703
285,1165051.5797778703
286,1165353.0797778703
287,1183881.9547778703
288,1190472.5797778703
289,1174245.3297778703
290,1136109.3297778703
291,1142378.5797778703
292,1114356.0797778703
293,1115086.5797778703
294,1145270.7047778703
295,1115875.0797778703
